X,Результаты модуля (RealMathModule),Результаты модуля (IterMathModule)
-5.3686,-2346.970884851086,-2346.9710823219966
-5.3675,-2377.406888296772,-2377.4070809957216
-5.3664,-2407.2069179325567,-2407.2071059570644
-5.3652999999999995,-2436.382261720555,-2436.3824451657892
-5.3642,-2464.944035171936,-2464.9442141307786
-5.3631,-2492.9031840084645,-2492.903358571546
-5.362,-2520.2704867839702,-2520.270657039752
-5.3609,-2547.0565574670804,-2547.05672350185
-5.3598,-2573.2718479852633,-2573.2720098832506
-5.3587,-2598.9266507311318,-2598.9268085745566
-5.3576,-2624.0311010315268,-2624.031254900615
-5.3565,-2648.5951795797937,-2648.5953295528393
-5.3553999999999995,-2672.628714832063,-2672.628860985507
-5.3543,-2696.1413853680147,-2696.1415277764177
-5.3532,-2719.1427222166317,-2719.1428609528202
-5.3521,-2741.642111147548,-2741.6422462825794
-5.351,-2763.648794928561,-2763.648926531786
